#{"t_start": 1771389290.1934578, "env_id": "None"}
r,l,t
1943.1311,1000,5.971508
972.2704,1000,8.00813
597.8491,1000,11.717739
-10.0001335,1000,15.342769
23.28028,1000,19.520832
