#{"t_start": 1771225423.6887798, "env_id": "None"}
r,l,t
-398.935,643,959.614024
-402.12003,562,964.084825
-340.66946,348,969.360172
-311.47037,487,971.446217
-400.16052,366,971.737983
-392.51016,561,978.704685
-404.32013,732,985.828207
-371.11426,464,986.124182
-401.00006,450,987.957734
-395.28494,396,988.895375
-400.78,428,995.653507
-311.15372,456,999.669437
-310.3839,456,999.996455
-400.5803,408,1004.348968
-338.87646,334,1007.22363
-380.8348,344,1011.233232
-400.6404,414,1015.231534
-401.60034,510,1019.912476
-355.20422,331,1022.810369
-401.17032,467,1027.713259
-400.79028,429,1029.482411
-339.98932,299,1031.700131
-384.61478,301,1035.011898
-400.94006,444,1036.973477
-366.7321,509,1038.308941
-379.8172,335,1044.414743
-311.08423,446,1048.769872
-384.86465,326,1049.047121
-340.71182,382,1054.900458
-386.0397,398,1058.350738
-400.61972,362,1062.67474
-401.19037,469,1067.92031
-401.5402,504,1068.167344
-401.06055,406,1071.164554
-385.25482,350,1071.888595
-372.68542,348,1072.141516
-400.64996,365,1079.530647
-311.58923,335,1081.17269
-384.5907,263,1081.172744
-399.54007,304,1090.840348
-385.3196,325,1092.166358
-384.82013,398,1103.695321
-336.50928,334,1106.978952
-401.98135,548,1111.775759
-401.78104,528,1116.771217
-402.94205,644,1117.346261
-402.16232,566,1120.93843
-401.45013,495,1126.372953
-400.79044,379,1127.520184
-354.37805,279,1130.923999
-402.41052,591,1131.816457
-355.89896,467,1135.611882
-343.57684,339,1138.353274
-262.42004,433,1149.091002
-334.5853,351,1149.968518
-282.94275,514,1151.382565
-354.5244,325,1151.67837
-371.78467,394,1157.440588
-357.98938,337,1159.098232
-370.78555,366,1165.190118
-385.64993,308,1171.394026
-403.67044,717,1174.261142
-338.65475,354,1175.862607
-400.8103,431,1178.953103
-385.06003,452,1182.401814
-370.16534,407,1186.876807
-356.17288,429,1187.013938
-400.2505,375,1189.912337
-386.1699,313,1192.641468
-340.67538,424,1202.109813
-356.27737,390,1206.578551
-345.27246,457,1207.214914
-385.08987,371,1208.821738
-400.67093,367,1210.728065
-400.93005,443,1212.70217
-402.74084,624,1213.970404
-386.9774,544,1225.290377
-401.62073,462,1235.303581
-385.66895,336,1235.535873
-355.9082,407,1236.768987
-401.6498,515,1242.37526
-323.93433,460,1247.569695
-396.36533,486,1248.20105
-402.23044,573,1252.730262
-339.6144,304,1254.945582
-352.25208,279,1255.395002
-296.9156,487,1262.532057
-400.75058,425,1263.381731
-400.41043,391,1271.743099
-369.57953,288,1274.178051
-370.38974,398,1275.405265
-400.9503,445,1278.712949
-401.4702,397,1279.132324
-366.95468,321,1283.289945
-293.62415,448,1285.164257
-400.13013,363,1286.988353
-385.31586,340,1298.425274
-308.565,411,1301.404363
-310.18045,467,1301.796708
-385.4074,396,1309.292487
-285.87897,514,1310.601922
-401.51996,452,1310.801855
-386.2369,570,1313.798283
-400.61026,411,1321.460535
-402.44974,595,1322.477213
-322.9643,404,1324.834053
-307.64252,335,1332.428621
-308.06793,385,1336.060073
-402.67017,617,1339.429081
-379.07068,283,1342.142384
-401.73065,523,1343.064526
-322.53036,332,1346.850575
-310.70078,548,1349.714834
-401.1009,460,1352.334916
-336.44205,247,1358.896546
-401.53024,453,1372.940219
-400.01016,351,1373.388795
-401.50055,500,1378.571163
-355.62427,338,1379.122913
-402.72086,622,1379.687455
-400.46048,396,1379.803012
-333.09555,318,1380.097543
-322.86044,486,1396.390918
-340.21936,373,1396.856408
-386.76492,416,1399.437111
-325.79395,306,1399.997036
-365.35944,348,1402.166557
-304.64444,374,1404.858879
-310.477,425,1406.772519
-390.95154,480,1411.632371
-399.7303,323,1420.145332
-308.08804,365,1420.566994
-349.99142,373,1424.071403
-401.90015,540,1430.950655
-401.38092,488,1433.122899
-400.90048,440,1434.527172
-401.23093,473,1441.860045
-290.54645,301,1443.878999
-403.38052,688,1449.29107
-281.2948,572,1457.388256
-299.1638,430,1459.16065
-400.31104,381,1459.39363
-400.53088,403,1459.574234
-235.63683,625,1460.718574
-400.82056,432,1470.060462
-401.27023,477,1475.025935
-374.7801,393,1475.217677
-400.1402,364,1482.579739
-400.23044,373,1482.99901
-354.9664,409,1483.348476
-311.3547,440,1486.152584
-386.30997,433,1486.952826
-323.1587,384,1498.433337
-325.08997,459,1498.811306
-309.78027,387,1513.240975
-353.58917,324,1514.511013
-400.6103,411,1514.967792
-399.98032,348,1515.179687
-402.24152,574,1515.982477
-250.432,605,1526.205467
-327.19666,335,1533.206751
-400.8201,332,1535.331977
-339.92194,344,1535.471077
-401.74045,524,1536.939901
-307.85538,408,1539.898751
-402.60114,610,1541.854382
-317.76498,455,1544.379113
-293.40268,357,1549.960798
-400.92023,392,1557.630721
-338.0201,367,1558.119533
-228.5518,437,1563.188265
-401.63046,513,1567.874331
-401.24072,474,1570.096627
-384.45895,399,1572.955177
-402.2398,574,1574.706092
-402.45007,545,1577.529822
-278.44016,453,1585.917877
-341.13156,462,1586.92298
-395.55508,423,1588.493965
-374.55972,351,1599.521711
-337.8736,408,1600.80215
-401.97052,547,1602.751938
-354.45938,287,1605.214909
-401.56064,506,1606.143266
-402.34024,584,1608.714374
-279.0545,351,1612.285134
-400.50015,400,1612.470348
-353.92053,301,1622.913198
-390.45044,380,1624.796997
-338.79898,375,1625.617865
-293.8869,355,1628.754476
-400.70996,421,1631.63538
-308.01157,440,1636.433647
-401.59024,459,1647.99301
-401.25037,475,1649.244138
-399.8604,336,1653.828722
-353.78516,370,1653.828779
-400.08023,358,1658.355321
-385.5225,421,1658.841566
-324.51663,388,1666.833316
-369.1897,332,1673.904012
-391.3068,592,1677.16215
-322.66113,301,1678.133968
-401.17017,467,1679.170084
-310.36923,426,1680.989703
-402.37012,537,1683.004692
-400.55008,405,1686.45722
-384.51718,363,1693.236849
-308.00574,322,1696.510545
-325.60318,322,1700.427447
-385.87982,382,1703.588039
-294.851,412,1710.143677
-338.96756,329,1714.884673
-402.19043,519,1716.123953
-402.2296,573,1716.386782
-324.07678,317,1718.208456
-291.95474,291,1721.554515
-233.41716,568,1725.288147
-399.7005,320,1736.21367
-308.12552,332,1738.513645
-401.98175,548,1741.353432
-400.95038,395,1744.465034
-338.98682,329,1746.726091
-402.1106,561,1748.473958
-249.25021,501,1749.85265
-233.60408,511,1755.065721
-339.76898,406,1762.465293
-368.85208,256,1770.186336
-201.48651,526,1771.731259
-292.2981,363,1772.023022
-289.54446,447,1772.386481
-97.536,607,1786.275439
-369.0867,546,1788.003517
-338.06882,339,1792.14812
-339.1693,273,1798.472138
-403.26083,676,1799.709359
-290.59424,326,1801.351076
-297.16672,339,1802.416658
-375.975,475,1808.838453
-290.4493,343,1809.708465
-223.41898,425,1817.005548
-247.93077,393,1824.916652
-298.04718,372,1824.91671
-346.50925,495,1825.911294
-396.19537,437,1831.324403
