#{"t_start": 1771225423.6887798, "env_id": "None"}
r,l,t
-62.98174,584,3984.477948
-248.68887,459,4004.812656
-93.90744,541,4008.726014
-202.1641,473,4033.160263
1500.5085,5330,4059.495492
-280.862,421,4079.152279
1178.8917,7567,4079.669998
1308.6007,7085,4087.979262
-166.36632,535,4108.762313
-198.41795,492,4129.104932
1985.9734,4538,4144.699625
-227.04362,385,4146.507075
1644.4386,5293,4169.226794
-255.31815,337,4184.652455
1599.5448,8070,4188.309585
-173.3131,628,4214.094563
1680.2795,6733,4251.232837
-188.11548,433,4271.262699
1530.0165,5258,4275.415784
1403.905,6974,4280.713909
-147.75594,438,4301.942253
1909.7931,5760,4308.740967
1787.4211,6904,4353.323699
1688.3033,6590,4381.185362
1991.5251,4537,4401.234682
-258.15268,361,4418.265131
-353.00192,305,4433.614393
-225.57993,383,4457.894641
1839.6462,8037,4466.318684
-224.82588,365,4473.818515
1874.771,5955,4480.192127
-180.3541,410,4489.516117
2250.239,6063,4511.022456
-106.57256,491,4511.365157
2024.9863,6044,4518.548624
1908.5521,10693,4523.636698
-307.48865,236,4525.603586
-276.49576,327,4530.544011
-275.23288,328,4544.276007
-289.2229,320,4550.634509
-320.51456,290,4565.978364
-336.34955,273,4581.673042
2174.7773,4734,4603.448285
-228.1731,405,4623.022993
2034.7388,6000,4628.664916
-213.86288,342,4639.65548
-141.76532,616,4665.527785
1921.7809,3969,4689.891602
1915.1937,5087,4706.296909
-276.36215,344,4706.454041
-338.2912,389,4723.969609
1949.9894,5809,4738.913275
-290.35852,304,4745.170258
-307.56906,330,4758.420094
-179.23813,473,4771.670559
-259.40997,280,4774.884961
-202.19896,332,4790.634452
-194.39397,397,4797.399789
2260.9148,5022,4800.187289
-232.52513,381,4813.169374
-225.03749,360,4818.579301
-215.30305,334,4820.143839
2189.866,6029,4833.353816
2329.047,6590,4840.688313
-273.81186,437,4844.190382
-200.69075,369,4868.341229
-195.81876,368,4871.110914
2232.178,4219,4872.084128
-186.50662,496,4893.431656
-231.23601,438,4893.577271
-151.75052,450,4895.20716
-275.10767,368,4912.516305
-228.15393,406,4914.561174
1972.5558,5641,4922.637944
2445.4712,4761,4956.673832
2274.4707,4342,5008.806132
2158.1433,6275,5020.145856
2091.9524,5235,5021.625398
-180.21373,319,5043.652243
-259.89804,485,5051.97024
3310.146,5515,5061.024266
-112.59638,454,5066.864892
2451.0837,7505,5073.319239
-233.01639,354,5092.11509
-133.8932,426,5111.247767
2159.7004,8358,5116.919225
-303.89093,317,5126.900776
-266.1997,305,5136.914334
2496.119,7122,5146.09273
-227.21146,327,5164.146143
-321.76315,321,5181.05005
2459.97,7481,5205.490835
2666.2056,4148,5238.07748
-258.9847,384,5255.025042
2277.5288,4288,5255.528509
-185.60275,513,5277.079616
28.413996,671,5285.055508
-227.35654,327,5292.295026
2260.9946,5240,5293.293032
2123.0671,6530,5308.164568
-260.81314,425,5319.712155
-147.5973,489,5338.161839
-208.05962,382,5338.89191
2238.639,4495,5361.768454
2315.4553,5453,5363.8377
2621.919,5453,5373.040721
-196.96506,337,5381.170557
-181.32469,395,5388.148911
-177.971,438,5405.519645
2331.775,4672,5424.907507
-226.44962,343,5428.513195
-303.13974,249,5443.819463
-276.21854,351,5445.342302
3582.1257,3122,5448.152491
-211.73068,318,5465.761711
-130.19597,409,5466.294859
-237.24367,340,5483.701848
-170.83163,433,5488.126365
-276.17648,513,5507.981799
2532.079,3618,5522.995008
-241.94736,323,5523.820488
-292.79422,307,5544.494381
-217.79105,332,5546.323353
2310.1726,5636,5582.669441
2190.197,4992,5606.260789
2401.313,4371,5621.871827
2340.417,7424,5631.707504
2299.4207,5803,5635.788314
-291.46933,348,5651.204341
-231.27061,392,5657.856389
2488.2795,5256,5692.586819
2742.0432,5289,5717.70581
-230.10146,585,5738.192058
-148.14679,368,5759.380975
2387.6338,4762,5767.178171
-338.00705,332,5774.955308
2428.6943,3621,5777.709304
-282.6989,391,5790.110328
-263.12964,399,5796.359401
-230.83344,372,5798.356087
2424.023,4858,5800.9595
-275.6591,354,5809.599897
-212.0685,348,5820.818466
-258.58737,484,5834.413256
-106.312965,539,5860.920896
-186.6813,379,5879.194153
2423.4473,8622,5880.372188
2567.2502,4551,5884.255283
-127.77693,489,5903.447518
-242.26016,322,5904.126343
-211.62677,329,5920.967738
-307.17242,399,5923.212805
-214.51703,557,5945.770442
2789.7214,7074,5957.067734
2527.2634,3261,5958.719501
-243.93176,398,5977.499745
57.219845,810,5982.042589
2355.5906,8369,5984.091538
2.9731848,686,5987.197555
-214.05107,395,5996.287327
-196.54994,428,6005.215453
-293.43326,484,6011.137424
2509.789,3961,6012.539373
-364.5132,320,6031.360349
-248.93034,380,6033.306602
2888.357,4953,6044.924093
-185.54521,356,6049.854985
-160.2085,912,6084.302035
-148.90121,599,6106.911496
2568.8423,5417,6126.952183
2675.303,4173,6156.142099
2423.1646,4102,6158.237556
-211.56622,392,6179.369103
-199.60147,491,6180.343368
2762.8035,4473,6185.745149
-273.14615,300,6195.214243
-291.68295,437,6205.30587
-273.34933,392,6221.347439
2422.5728,6913,6227.721645
2778.314,4748,6229.586622
-290.7253,309,6245.193679
-152.79007,708,6256.496123
-195.28427,337,6261.272007
2750.1304,5164,6268.417031
-212.1269,436,6290.476032
2645.6829,3689,6296.463573
2604.7905,4349,6297.609512
-276.5621,331,6308.26635
-236.82446,353,6317.639433
-136.08954,420,6335.416203
-172.87733,354,6340.984913
-322.59006,411,6357.754373
-198.09743,371,6361.042786
-129.79108,526,6379.863186
-259.78525,275,6395.468862
2752.7012,3165,6396.154528
-264.95297,356,6414.812587
-272.3103,374,6434.732321
2473.5593,3663,6447.656436
2622.1113,5140,6467.301312
2564.7603,4301,6475.9099
-275.02307,491,6489.490752
-229.48463,435,6507.987324
2859.2537,3375,6516.416435
-272.83954,277,6529.338293
2680.1348,4818,6543.53872
-273.9503,265,6545.435348
-185.10027,422,6547.989566
-257.84213,441,6566.55969
-197.65477,419,6567.583333
2480.2341,3007,6590.881638
-207.74915,364,6607.113914
2521.4187,2908,6619.693187
2416.7012,4814,6630.744006
-179.98476,395,6642.86795
-214.49763,502,6655.43637
-242.9014,400,6671.761146
2547.3284,3150,6689.389292
-155.71078,401,6707.636365
2865.49,3286,6717.93661
2672.9739,6111,6728.872945
-305.54855,282,6739.763041
-77.141594,507,6757.004625
2705.1138,11348,6758.991905
-260.0786,339,6771.87978
2676.633,3530,6781.897713
2514.8008,4517,6786.74953
-128.29167,588,6789.293489
-304.22644,353,6790.961009
-192.92986,355,6802.907142
-269.287,331,6808.293776
2850.0007,2770,6815.348658
-207.75041,311,6821.635394
3607.5347,3753,6832.930078
-256.60974,339,6857.274408
3113.931,2863,6867.695731
-133.57669,474,6876.701258
-77.41706,539,6892.541838
-261.30524,411,6911.779069
-286.77634,297,6926.078683
2378.726,2981,6946.349998
-214.29568,391,6948.41898
-119.55372,400,6969.077186
2642.1377,3465,6987.064832
-117.24454,540,6988.338781
2649.594,5042,6991.699315
2397.0334,4662,7016.787288
-179.35948,400,7041.306419
-233.41689,370,7059.242051
2937.286,2643,7065.241452
2424.1663,5681,7086.511005
2519.9524,5876,7098.160188
2673.1455,2576,7100.799176
-163.14342,297,7113.785204
2707.722,5348,7124.36325
24.757868,960,7133.637261
2671.575,3081,7170.927136
2637.8557,4561,7172.473227
2524.3643,4812,7179.933252
-225.57097,325,7189.213188
-305.2418,295,7213.568571
2541.4463,3294,7236.529669
-247.82182,490,7254.365663
2597.595,4533,7274.592602
3042.4326,2935,7297.639684
-194.89854,464,7298.045919
2721.395,6091,7307.456903
2702.686,4767,7308.785559
2914.351,3105,7316.532221
-230.97037,392,7317.20589
-184.79695,504,7325.736034
-180.99008,304,7327.1197
2893.1047,2808,7328.030237
-295.41412,338,7348.274593
2721.722,5423,7349.95979
-178.75143,430,7350.786358
-254.86122,323,7365.684718
-228.34464,333,7370.30238
-305.23944,325,7384.863129
2967.5962,3309,7415.723732
-171.92317,523,7436.219738
-274.17813,395,7453.170511
2923.8936,3108,7454.452602
2779.4778,2991,7457.004419
2730.4468,3154,7478.577239
2474.3813,3533,7489.079904
2929.8657,3211,7499.215258
-354.07455,298,7504.819597
2849.9087,3350,7528.361638
-197.08281,345,7546.09446
2875.9087,4221,7560.609237
2921.2593,3041,7589.694228
2718.322,3060,7592.033384
2792.4336,2464,7600.209107
-267.21353,346,7610.967302
2624.2305,3574,7613.657935
-148.39752,501,7614.965553
2916.8372,3178,7616.407736
-193.21341,344,7631.942492
2990.0713,2901,7631.94254
-189.86627,336,7635.605926
-258.8796,330,7636.665531
-131.43137,360,7654.057086
-229.0584,372,7659.724055
-168.15616,599,7667.540265
-170.60126,372,7692.470828
2676.2476,3268,7707.857325
2835.2812,3031,7709.407994
2971.623,2999,7737.39261
2915.8,2957,7742.095997
-304.3448,491,7763.775293
2801.5178,3063,7770.931066
2917.014,2795,7772.880673
-236.29854,273,7778.526229
2709.755,2852,7783.168036
-197.53824,322,7794.364328
-149.5082,431,7798.445087
-268.66495,378,7801.481927
2678.117,2694,7804.742019
3120.1362,2519,7820.943243
-270.2144,263,7821.475291
-104.09722,590,7834.998939
-289.56943,323,7837.629761
2500.2207,3064,7846.118002
-183.6258,422,7872.023005
2829.6047,2838,7892.972352
2989.4788,2510,7916.648918
2892.1477,3027,7922.351632
2687.8328,3381,7927.209675
-179.66133,478,7942.578892
-196.7739,387,7945.795246
2804.5452,3507,7946.439776
-259.25998,406,7952.735739
2959.4678,2907,7953.932125
-290.4319,286,7959.371611
-152.03899,498,7974.470843
-135.50587,421,7982.138854
2718.7407,3509,7988.716475
-183.96693,478,7998.442913
-183.073,457,8005.75667
-106.32158,498,8014.802804
2714.9458,3520,8019.295317
-179.07953,600,8035.546426
-151.80515,452,8036.771119
-163.5867,324,8058.588744
-178.0956,470,8067.074438
2895.3826,3734,8069.342971
-167.12704,328,8085.133021
-250.63184,535,8086.402819
3119.021,2480,8088.472974
-236.08333,251,8101.453333
2882.8335,2954,8115.0141
2829.1746,3117,8116.704709
-228.45612,418,8136.258085
2632.6318,2881,8151.355313
11.09395,648,8171.022646
-192.76013,362,8173.83809
3072.7715,2906,8176.83813
-94.00981,467,8196.22706
2727.0034,2617,8204.480375
2908.2046,2663,8219.994318
2679.7043,2725,8230.183025
3015.4653,2918,8230.658952
-64.949196,675,8232.304555
-210.0441,409,8249.167745
2915.3982,2835,8256.808127
-209.76163,471,8258.200575
-169.07864,572,8265.946593
-266.32657,331,8274.352039
-168.83134,350,8292.759901
29.630075,697,8294.80425
-50.740707,598,8297.691065
3080.7686,2617,8300.519622
3012.6145,2542,8303.655697
-182.65663,365,8323.514718
64.98316,671,8333.141358
2909.8604,2813,8339.798009
-228.24222,339,8342.587698
-198.84235,414,8360.831661
-72.6362,512,8372.511729
2978.9507,2878,8375.258182
-136.62166,453,8389.628292
2911.4236,2821,8410.223646
-191.98293,448,8410.372833
2787.004,2482,8426.731565
2709.694,2777,8432.744568
-106.75254,571,8433.001474
2730.505,2855,8439.255591
-213.46738,461,8451.044048
-231.6369,371,8452.967457
-169.82353,504,8460.374794
-191.45386,386,8477.201672
2771.3413,2802,8480.907613
-159.11197,485,8504.167192
3033.8845,2668,8507.443889
2737.4429,2758,8510.258728
-321.74878,288,8519.00005
-154.20451,480,8535.083246
-82.342415,478,8537.365664
-107.86681,437,8543.208702
-123.68312,378,8556.274384
-288.75754,353,8573.836847
2890.722,2659,8585.952946
12.562143,566,8604.40274
2884.532,2799,8604.722963
2725.5637,2777,8608.043576
-290.40134,359,8622.542053
-193.55937,464,8628.772627
3103.919,3025,8633.849665
36.170406,673,8642.596917
2793.3533,2451,8660.529259
-260.07437,438,8686.085482
2912.6914,2781,8686.372501
3835.4739,5478,8689.182922
-207.56345,394,8706.595959
-230.79984,472,8715.050067
3016.8071,2802,8725.177966
-228.7264,411,8741.535497
-12.999289,671,8743.122247
2691.4958,2658,8748.071768
-240.57043,292,8759.216402
-90.6088,600,8770.142504
3004.8152,2886,8771.199774
2610.1123,2972,8792.05051
2994.6538,3309,8792.92294
-162.00464,436,8798.304363
-241.87776,320,8811.106819
-160.67781,477,8817.497377
2905.484,2610,8817.902687
-306.2431,230,8831.985305
17.309954,663,8837.224435
-243.9897,368,8839.287724
2710.2842,2803,8853.255169
-289.05524,266,8855.754606
-177.27942,332,8873.326737
-204.06621,506,8898.517892
2985.6604,2860,8903.174187
3040.0986,2726,8904.264748
-156.12897,412,8924.724757
2872.6614,2893,8926.183406
-192.28821,286,8939.505157
2823.786,2672,8947.580557
3035.5483,2931,8969.533914
3042.4937,2902,8971.42128
2876.3567,2662,8972.647806
-198.14513,413,8994.823137
-306.39215,278,9011.377464
2929.561,2572,9030.308934
-230.65482,385,9030.499915
-117.65601,376,9049.778821
2662.2957,3236,9052.727414
2925.5037,2756,9069.77938
3000.3542,3029,9070.703598
2686.8906,2613,9071.450668
-229.69348,434,9090.778557
-109.04096,419,9098.21861
-133.60728,523,9105.011704
-290.1555,357,9116.94052
2957.8972,2661,9118.694939
-139.42603,487,9123.529329
2914.0046,2809,9124.162462
-171.78592,376,9124.55441
-165.5144,506,9146.86683
-292.78964,419,9148.656016
-59.465157,497,9151.511085
-70.6935,499,9152.266692
3827.0261,2591,9176.624623
2862.3025,3023,9177.867171
-147.11787,476,9204.899248
-77.42525,583,9211.667608
2652.1746,3304,9220.006149
-235.6694,300,9229.289065
2789.0815,2663,9247.987022
-245.36789,392,9265.593434
2789.8105,2555,9266.680717
-199.43324,427,9285.689507
2896.8723,2933,9287.015306
2959.0332,2867,9287.236168
-231.23586,473,9289.955724
-146.04665,458,9315.277514
2965.4282,3285,9315.633883
-165.85306,450,9316.349871
-175.94014,366,9334.852432
-211.27118,382,9336.893312
2950.5254,2704,9345.231422
-72.6948,480,9362.235736
-191.8869,429,9366.178135
2731.3196,2790,9371.796793
2837.8967,2966,9374.122416
-135.58278,425,9390.015169
-189.58598,374,9409.721148
-296.07324,353,9430.121928
2982.5042,2609,9430.934931
3026.5298,2561,9431.341879
-158.43657,417,9451.115636
-246.85248,394,9452.067908
3045.052,2598,9453.078529
-234.55788,341,9470.386669
2807.0242,2623,9473.413222
-336.12393,288,9489.647415
-208.91835,410,9491.774043
3058.3845,2749,9505.988775
-29.34783,549,9516.311091
2981.6265,2747,9518.595462
2975.8877,2745,9520.845484
-211.59987,289,9528.8148
-215.91844,341,9543.933194
-198.36253,372,9549.651054
-168.24283,411,9549.908804
-191.27577,333,9563.218431
-152.20396,424,9573.813253
2881.3538,2661,9581.675041
-149.88983,621,9583.926066
-69.41386,493,9589.705081
-225.90793,305,9590.259845
-239.47893,285,9599.353941
2922.882,2558,9600.543205
2795.765,2669,9604.451625
-257.94864,396,9607.985007
-112.16031,400,9614.998515
-132.94453,453,9617.641425
-136.31586,456,9626.642457
-244.06575,428,9630.42568
-137.37425,409,9639.380241
2774.428,2696,9653.853389
-273.13464,347,9664.248382
3013.0054,2751,9685.225449
2910.6426,2407,9701.583398
3186.2302,2754,9710.98408
3089.7627,2579,9713.860189
-89.5122,526,9733.172791
-283.3782,318,9734.072642
2812.8918,2644,9734.364987
2783.2983,2761,9745.003495
-237.35005,288,9750.458391
-156.53008,360,9755.718958
-151.89575,434,9759.409844
3007.4338,2692,9761.036466
-167.95415,396,9777.019769
3178.598,2899,9781.476764
-108.35084,585,9788.823897
-278.72763,387,9800.411556
-201.84117,473,9810.731526
3944.0813,3103,9812.460568
-170.61623,334,9834.815383
3089.371,2607,9851.142969
2996.3718,2331,9862.390561
-179.71394,372,9882.326467
2958.7803,2558,9884.24214
2854.9753,2964,9890.680363
2997.8965,2742,9908.236102
2961.765,2635,9930.285746
2898.322,2690,9942.48155
2869.44,2687,9958.394464
2801.6257,2789,9978.826172
2582.1409,2562,9995.796063
2837.179,2679,10004.018084
3033.2656,2840,10020.887703
2997.027,2684,10030.989233
-123.530556,511,10033.372197
3008.2954,2573,10047.476499
-224.77596,318,10049.869931
3048.5374,2744,10068.473909
3121.502,2442,10071.046413
-161.62955,413,10088.123512
2793.8286,2541,10102.719537
2979.6855,2534,10124.414651
2872.7803,2590,10142.636746
2985.6162,2477,10146.760646
-23.425964,669,10148.761341
-245.09267,401,10161.915648
3021.5378,2577,10165.469515
-243.14394,335,10167.780761
2802.0066,2578,10168.20861
-156.91052,403,10185.977522
-198.0591,360,10189.108858
2880.1191,2542,10194.296296
2938.545,2412,10206.157361
-234.45389,351,10208.611155
-133.76093,419,10233.179909
2668.9976,2541,10233.837028
-7.590777,684,10261.320329
3129.017,2594,10278.143052
-192.17305,398,10278.564247
2796.8147,2387,10284.992305
-94.25483,410,10299.115078
-103.89406,385,10306.724725
3069.3657,2940,10314.14048
-231.48366,316,10316.762615
2818.4397,2545,10325.619342
2863.7004,2817,10331.194037
2861.75,2706,10344.558064
-226.7221,304,10347.701916
-130.68542,456,10368.307604
-158.30127,464,10370.812586
3059.6223,2876,10376.43402
-215.60661,373,10389.671393
-118.85384,453,10397.165681
-246.98824,358,10415.581445
3051.7102,2778,10429.044514
-108.332535,500,10442.228421
3142.6587,2392,10449.139137
3042.0667,2699,10457.423506
3007.6636,2650,10461.836189
-148.09132,401,10464.648199
3032.9866,2662,10468.334714
-261.0181,422,10473.76341
-199.55733,362,10481.880761
-135.98863,490,10492.414108
-33.34065,662,10495.288521
-244.82013,379,10503.457549
-229.90613,410,10516.445965
2993.131,2606,10519.97537
-115.05556,508,10531.815269
-239.12306,288,10533.884784
-163.57289,376,10541.345208
2925.2312,2833,10544.843995
-180.24403,329,10558.142487
2864.608,2434,10571.754173
-90.32457,477,10573.199859
-31.09146,537,10587.354857
-118.49225,398,10593.040838
-129.92467,532,10599.313147
-151.52708,521,10611.673538
3008.6594,2687,10619.032877
2862.8647,2620,10620.177083
-198.71666,388,10620.404248
-243.23569,287,10638.248848
2969.1648,2640,10642.61363
-117.08243,403,10644.817282
-266.3329,330,10660.704544
-120.8125,434,10661.654207
-162.09734,439,10674.850151
-166.87798,360,10687.102752
-193.61966,473,10691.682402
3011.1455,2563,10694.786539
-213.5176,466,10698.98453
-153.27145,463,10711.6493
-241.93547,319,10712.686604
2921.2625,3149,10714.165646
-213.34714,464,10727.273104
-257.8863,277,10728.884404
-179.44284,329,10734.476028
-182.08264,426,10739.484844
-234.88156,355,10759.568022
-125.37376,526,10759.803521
2942.6462,2923,10761.964379
2852.3572,2605,10765.371669
-170.5806,593,10767.627701
2903.4634,2633,10776.501338
-210.10782,352,10779.316107
-255.76231,307,10791.858946
-194.48384,420,10792.129844
-27.69264,525,10795.243331
-128.39836,463,10809.54035
-151.85889,439,10820.261522
-225.09447,413,10834.070153
-211.92134,399,10853.995823
3074.747,3043,10868.208695
-104.137054,482,10877.179211
2802.5405,2797,10886.089478
-229.80104,299,10908.165442
2804.5205,2490,10910.551034
-216.04654,422,10928.732105
2751.018,2621,10928.911735
2960.049,2577,10931.872162
2630.6074,2712,10940.872802
-241.2762,286,10945.603165
2699.2178,2590,10960.347199
-165.34456,347,10963.959399
-248.95506,296,10981.052794
2896.3862,2660,11002.20433
3037.1404,2629,11012.860231
-211.78413,366,11025.131835
-243.32077,323,11032.60901
2867.5432,2595,11040.179493
-138.83792,578,11051.765812
-179.60751,427,11060.366824
3070.1746,2770,11069.21152
3101.4314,2647,11070.077912
3299.109,2900,11071.966661
-104.350555,460,11075.99633
-175.17824,494,11086.916947
-227.0985,373,11090.856587
2778.3206,2464,11100.749247
3009.0483,2811,11100.941022
-225.68806,344,11107.417006
-59.577614,661,11108.54876
-333.06152,345,11110.674852
-90.71341,536,11135.094959
-135.84001,482,11139.09442
-114.97346,450,11139.655691
-223.51608,299,11156.154116
-126.92533,465,11160.455375
2998.2568,2615,11173.055557
-217.29077,711,11176.401411
-139.46178,569,11188.359907
-118.14497,468,11196.233572
-286.8565,293,11204.560927
2889.3293,2804,11228.229479
2688.302,2826,11231.247884
-242.92297,355,11245.74021
2771.3757,2798,11259.264292
2831.1423,2938,11261.034089
-194.54765,391,11266.510592
-166.6116,415,11281.856307
-152.03265,460,11285.281006
-162.27443,360,11300.599062
2905.9487,2839,11303.772196
-225.54945,376,11304.933111
2893.4866,2563,11312.055882
-181.04927,355,11321.249443
-207.09778,313,11324.220392
-153.84207,528,11334.117768
3053.0713,2499,11343.195213
-121.589615,468,11343.35646
2970.6548,2748,11350.588679
-162.42339,405,11351.172819
-129.24063,630,11361.367614
-133.24901,457,11368.866321
-121.66252,352,11380.573449
2838.1633,2746,11386.594777
-135.41382,420,11392.558336
-196.21553,342,11402.040989
-287.28528,239,11403.54759
2619.612,2537,11413.99244
-225.50494,419,11418.314994
-160.19641,410,11425.282767
-243.83682,393,11425.708501
-240.04878,302,11442.326192
-213.47911,487,11442.635293
3064.1406,2562,11474.237851
2919.8145,2609,11478.885078
-191.99222,383,11493.58707
3032.5789,2789,11496.721085
2794.1648,2807,11498.109542
-120.344284,442,11503.491965
-138.23598,520,11518.9316
-83.57049,481,11520.560109
0.8025888,649,11528.081635
-210.14561,343,11537.831003
-102.85966,512,11547.151776
2737.453,2708,11551.201169
2741.152,2652,11554.453722
2999.9646,2387,11561.656259
-88.93409,598,11576.935818
-152.90945,430,11580.088651
-226.10535,270,11580.779152
-243.79503,399,11583.002191
3255.6094,2698,11583.429176
-321.77716,273,11596.637304
-46.901077,626,11617.058197
-129.79071,602,11638.249027
2829.2566,2693,11645.335586
3124.9958,2544,11661.34781
-53.582676,638,11679.264033
-222.41402,333,11681.842543
2875.232,2561,11689.717922
2999.3625,2488,11703.369847
2973.2598,2481,11705.671729
2871.4487,2741,11719.038724
2972.4282,2771,11728.471065
-120.83609,473,11741.337104
45.78802,905,11749.629445
-158.35416,387,11761.203127
-253.54968,318,11768.311697
2906.73,2619,11779.189959
-105.15794,611,11797.585212
3973.5479,2338,11802.667614
-41.759686,651,11812.006952
2930.914,2444,11812.841184
-223.59306,334,11816.013349
3017.2783,2410,11819.898714
-128.1791,435,11834.295242
-59.61854,650,11836.85869
-16.785368,708,11846.351629
2953.8345,2739,11847.097022
-273.40515,354,11865.70327
-123.611465,519,11872.384226
2962.4126,2864,11884.247206
-128.87755,451,11894.7668
-211.08946,324,11896.517995
-179.2343,348,11916.702724
-220.22101,350,11917.867849
2980.0981,2716,11919.737618
-208.26987,331,11933.565767
-169.60951,501,11943.250664
-263.18207,330,11960.087745
3031.322,2455,11969.456078
2996.1208,2873,11974.244745
2865.2302,2700,11979.301326
3041.977,3081,11980.099821
-144.54008,464,11981.568768
-188.6055,359,11994.527708
-152.1519,569,12008.684533
-125.12729,396,12010.366328
2800.493,2587,12027.152666
-11.441717,656,12041.14106
-193.5188,336,12044.556699
-260.6908,317,12058.966363
3018.9563,2663,12075.172267
2868.0867,3064,12079.315134
2938.744,2288,12096.961036
3122.2666,2554,12117.23379
-193.19463,494,12127.549163
2910.869,2499,12132.826419
-211.27356,346,12136.162897
-209.18716,422,12149.634832
2821.4863,3022,12154.058671
-216.4437,390,12158.03324
-144.03645,429,12181.836329
2963.0974,2778,12187.119594
2912.9082,2617,12191.451454
2906.9185,2556,12205.373144
3009.8086,2529,12216.038531
-67.13959,512,12217.167089
-172.65146,441,12233.35541
-117.08386,598,12255.833506
2934.2856,2486,12273.166103
-116.06901,467,12273.948339
2956.0034,3114,12278.899591
2916.3481,3301,12302.079245
2824.8232,2823,12315.854296
71.68809,1183,12320.88693
3136.1113,3249,12322.96494
2813.506,2702,12328.116831
2937.9724,2847,12335.539452
-240.69379,332,12352.117755
3952.7092,1899,12353.629977
-276.13977,333,12370.07441
3129.0872,2427,12390.9527
-207.95673,303,12410.866194
2972.2144,2524,12422.762997
-194.50232,430,12430.280579
-191.81133,316,12440.014778
-189.40565,375,12449.206073
3185.4478,2749,12459.206468
2936.469,2620,12460.655653
2926.2717,2913,12461.217285
-224.81847,262,12465.0598
-197.81012,320,12481.148768
-198.2841,353,12481.640718
-174.45998,352,12482.547017
2954.8328,3092,12483.431909
2882.7625,2320,12492.0717
2970.821,2601,12492.19374
-274.70425,331,12516.839331
-112.688675,553,12519.096339
-320.50107,396,12537.816921
-136.95279,452,12541.120326
-242.1064,327,12558.990286
2922.3218,2603,12578.822413
-88.97611,559,12579.99647
3231.696,2577,12594.237447
3027.9941,2525,12608.174902
2976.2358,2702,12618.083522
-200.74113,446,12621.822944
2902.5679,2735,12623.283105
-213.8926,334,12627.738165
2930.1423,2810,12636.778705
-209.24692,361,12644.450586
-111.20739,390,12644.651362
-165.21942,505,12647.773386
-195.8545,356,12648.739754
-194.65027,427,12661.398588
3097.9521,2593,12665.647542
-208.12247,483,12672.06805
26.924067,607,12679.06065
-282.52917,329,12680.050921
-197.09851,469,12698.130547
-213.24358,425,12702.935193
-201.09108,394,12719.844144
3098.9783,2754,12733.725004
2636.6824,2903,12740.126202
-52.39448,413,12745.617873
-95.75727,579,12762.666345
2901.544,2774,12783.998549
2624.9258,2859,12785.819767
-282.78098,381,12807.177652
2806.8843,3040,12811.530018
2868.4263,2917,12820.850989
-196.6893,418,12832.592356
2638.6855,2728,12835.560107
-228.75627,367,12836.086339
-181.39633,512,12851.374251
-244.0641,368,12857.327356
2988.7632,2761,12871.869084
-212.97772,431,12876.19735
-166.98145,350,12878.655009
3002.1257,2790,12881.193865
2750.5264,2749,12897.493838
-241.23457,377,12898.584605
3020.589,2699,12924.594133
-147.72614,400,12942.774157
2850.5496,2555,12956.479143
3029.3025,2719,12961.607508
-168.79578,500,12962.384829
-196.81502,344,12975.818264
-115.36496,367,12982.929157
-169.90617,449,12997.991037
2941.7417,2729,12998.600162
2979.9734,2759,13002.953501
2651.302,2837,13012.43276
-40.980804,584,13012.716309
-225.45888,315,13015.049047
2962.166,2651,13018.380192
2728.5144,2873,13034.589617
-149.47784,449,13038.447469
-57.159004,524,13041.555873
-199.16763,432,13057.071133
-183.72345,469,13061.657607
-257.33328,351,13075.403887
53.276134,637,13076.095956
-181.77368,507,13097.874576
2710.978,2785,13105.828789
-178.33301,416,13115.931997
3082.2239,2410,13120.000988
-164.94785,382,13143.28496
2924.3962,2820,13147.13738
3179.8218,2726,13152.92666
3050.6506,2672,13153.732536
47.725185,789,13158.65159
-273.9413,285,13163.634211
-179.42831,419,13178.734844
-174.33353,372,13180.776508
-199.05608,365,13184.762574
2973.8735,2503,13191.150146
-178.61632,372,13205.763862
-165.6223,411,13213.557625
2985.1897,2823,13222.478385
-125.44439,480,13246.907538
3132.3342,2676,13248.59654
-82.82551,472,13268.695827
-176.62003,309,13283.612069
3136.2866,2756,13285.573725
3120.2344,2669,13293.939411
-227.58817,350,13302.665413
-240.86206,305,13303.201319
-271.17438,292,13311.590115
3907.6482,2004,13316.789465
3014.0674,2649,13317.240792
2996.8684,2708,13322.999587
-91.897026,398,13327.129188
-135.13885,428,13328.472089
-159.03827,413,13343.315666
-272.01447,266,13345.567783
-125.109505,363,13351.990502
2948.8884,2628,13352.274075
-6.0601025,490,13353.334378
-136.10153,539,13367.964624
-244.82466,278,13369.337802
-242.26596,354,13371.568438
-243.94221,426,13379.106996
-256.81152,332,13388.935328
-149.88565,357,13391.936379
2870.1855,2468,13396.061313
-119.77474,522,13408.366461
-39.180515,751,13413.531138
-195.51013,356,13434.355122
2775.304,2577,13454.722904
2898.4941,2584,13480.004739
3220.3765,3103,13499.483119
2790.2993,2594,13501.187178
2858.6436,2827,13513.330245
2892.0996,2884,13518.96872
-57.883987,603,13526.376592
2901.2236,2891,13534.584059
2836.8157,2691,13555.48239
-137.28897,404,13573.931947
2760.8643,2747,13584.520767
-138.13832,445,13594.255176
-242.71504,384,13604.887133
3173.2837,2780,13617.568155
-192.10487,436,13617.850392
2863.6802,2541,13635.260017
-256.09354,327,13636.082607
